Current Time                                                                Throughput               

9687.000000                                                                 2127.659574              

9737.000000                                                                 2000.000000              

9781.000000                                                                 2272.727273              

9827.000000                                                                 2173.913043              

9871.000000                                                                 2272.727273              

9923.000000                                                                 1923.076923              

9974.000000                                                                 1960.784314              

10021.000000                                                                2127.659574              

10070.000000                                                                2040.816327              

10112.000000                                                                2380.952381              

10160.000000                                                                2083.333333              

10203.000000                                                                2325.581395              

10266.000000                                                                1587.301587              

10309.000000                                                                2325.581395              

10368.000000                                                                1694.915254              

10410.000000                                                                2380.952381              

10458.000000                                                                2083.333333              

10510.000000                                                                1923.076923              

10577.000000                                                                1492.537313              

10624.000000                                                                2127.659574              

10673.000000                                                                2040.816327              

10728.000000                                                                1818.181818              

10775.000000                                                                2127.659574              

10826.000000                                                                1960.784314              

10873.000000                                                                2127.659574              

10921.000000                                                                2083.333333              

10978.000000                                                                1754.385965              

11024.000000                                                                2173.913043              

11076.000000                                                                1923.076923              

11134.000000                                                                1724.137931              

11181.000000                                                                2127.659574              

11222.000000                                                                2439.024390              

11272.000000                                                                2000.000000              

11316.000000                                                                2272.727273              

11361.000000                                                                2222.222222              

11407.000000                                                                2173.913043              

11449.000000                                                                2380.952381              

11493.000000                                                                2272.727273              

11536.000000                                                                2325.581395              

11585.000000                                                                2040.816327              

11635.000000                                                                2000.000000              

11681.000000                                                                2173.913043              

11728.000000                                                                2127.659574              

11779.000000                                                                1960.784314              

11826.000000                                                                2127.659574              

11874.000000                                                                2083.333333              

11924.000000                                                                2000.000000              

11973.000000                                                                2040.816327              

12019.000000                                                                2173.913043              

12061.000000                                                                2380.952381              

12106.000000                                                                2222.222222              

12151.000000                                                                2222.222222              

12196.000000                                                                2222.222222              

12249.000000                                                                1886.792453              

12299.000000                                                                2000.000000              

12341.000000                                                                2380.952381              

12386.000000                                                                2222.222222              

12432.000000                                                                2173.913043              

12473.000000                                                                2439.024390              

12520.000000                                                                2127.659574              

12570.000000                                                                2000.000000              

12616.000000                                                                2173.913043              

12663.000000                                                                2127.659574              

